,solar_result,3시간기온,강수형태,강수확률,습도,풍속,풍향,하늘상태,altitude,azimuth,altitude_m,azimuth_m
2017060501,0.0,17.166666666666668,0.0,21.666666666666668,74.16666666666667,2.5833333333333335,65.0,3.1666666666666665,0.0,0.0,-30.815716154454883,16.24294328550779
2017060502,0.0,17.333333333333332,0.0,23.333333333333332,73.33333333333333,2.6666666666666665,65.0,3.3333333333333335,0.0,0.0,-25.905379269347986,31.058427642127043
2017060503,0.0,17.5,0.0,25.0,72.5,2.75,65.0,3.5,0.0,0.0,-18.47884846644029,43.7865516488749
2017060504,0.0,17.666666666666668,0.0,26.666666666666668,71.66666666666667,2.8333333333333335,65.0,3.6666666666666665,0.0,0.0,-9.245005080701288,54.52547864902252
2017060505,0.0,17.833333333333332,0.0,28.333333333333336,70.83333333333333,2.9166666666666665,65.0,3.833333333333333,0.0,0.0,1.2237238608253693,116.26956760060659
2017060506,8.4,18.0,0.0,30.0,70.0,3.0,65.0,4.0,11.07,23.0,12.514125266014089,108.06050359593044
2017060507,30.48,18.666666666666668,0.0,30.0,70.0,3.0,68.66666666666667,4.0,22.14,46.0,24.33079816444587,100.29337257044871
2017060508,66.0,19.333333333333332,0.0,30.0,70.0,3.0,72.33333333333333,4.0,33.21,69.0,36.44259597031463,92.31604469528673
2017060509,93.6,20.0,0.0,30.0,70.0,3.0,76.0,4.0,44.28,92.0,48.617683652171316,96.89730147584196
2017060510,114.0,20.333333333333332,0.0,30.0,71.66666666666667,3.0,76.0,4.0,54.946666666666665,113.77666666666667,60.48733590219946,109.60037842039965
2017060511,129.84,20.666666666666668,0.0,30.0,73.33333333333333,3.0,76.0,4.0,65.61333333333333,135.55333333333334,71.02121317232519,132.3837927266256
2017060512,127.2,21.0,0.0,30.0,75.0,3.0,76.0,4.0,76.28,157.33,76.2528591568106,180.0
2017060513,120.72,20.666666666666668,0.0,30.0,73.33333333333333,3.3,76.33333333333333,4.0,68.62333333333333,191.67000000000002,71.02121317232519,227.6162072733744
2017060514,118.8,20.333333333333332,0.0,30.0,71.66666666666667,3.6,76.66666666666667,4.0,60.96666666666667,226.01000000000002,60.48733590219946,250.39962157960036
2017060515,78.96,20.0,0.0,30.0,70.0,3.9,77.0,4.0,53.31,260.35,48.617683652171316,263.10269852415803
2017060516,65.28,19.666666666666668,0.3333333333333333,40.0,71.66666666666667,3.9,78.66666666666667,4.0,41.230000000000004,268.75333333333333,36.44259597031463,267.68395530471327
2017060517,32.64,19.333333333333332,0.6666666666666666,50.0,73.33333333333333,3.9,80.33333333333333,4.0,29.150000000000002,277.1566666666667,24.33079816444587,259.7066274295513
2017060518,12.72,19.0,1.0,60.0,75.0,3.9,82.0,4.0,17.07,285.56,12.514125266014089,288.0605035959304
2017060519,2.64,18.666666666666668,1.0,60.0,76.66666666666667,4.2,88.33333333333333,4.0,11.379999999999999,190.37333333333333,1.2237238608253693,296.2695676006066
2017060520,0.0,18.333333333333332,1.0,60.0,78.33333333333333,4.5,94.66666666666667,4.0,5.6899999999999995,95.18666666666667,-9.245005080701288,305.4745213509775
2017060521,0.0,18.0,1.0,60.0,80.0,4.8,101.0,4.0,0.0,0.0,-18.47884846644029,316.2134483511251
