 format: day,hour,forecast,value  location:97_74 Start : 20180201 
 2,0500,+52,281.000000 
 2,0500,+55,282.000000 
 2,0500,+58,279.000000 
 2,0800,+4,293.000000 
 2,0800,+7,283.000000 
 2,0800,+10,273.000000 
 2,0800,+13,256.000000 
 2,0800,+16,273.000000 
 2,0800,+19,296.000000 
 2,0800,+22,298.000000 
 2,0800,+25,294.000000 
 2,0800,+28,287.000000 
 2,0800,+31,285.000000 
 2,0800,+34,286.000000 
 2,0800,+37,285.000000 
 2,0800,+40,284.000000 
 2,0800,+43,286.000000 
 2,0800,+46,289.000000 
 2,0800,+49,283.000000 
 2,0800,+52,281.000000 
 2,0800,+55,282.000000 
 2,1100,+4,283.000000 
 2,1100,+7,273.000000 
 2,1100,+10,256.000000 
 2,1100,+13,273.000000 
 2,1100,+16,296.000000 
 2,1100,+19,298.000000 
 2,1100,+22,294.000000 
 2,1100,+25,287.000000 
 2,1100,+28,285.000000 
 2,1100,+31,286.000000 
 2,1100,+34,285.000000 
 2,1100,+37,284.000000 
 2,1100,+40,286.000000 
 2,1100,+43,289.000000 
 2,1100,+46,283.000000 
 2,1100,+49,281.000000 
 2,1100,+52,282.000000 
 2,1400,+4,273.000000 
 2,1400,+7,256.000000 
 2,1400,+10,273.000000 
 2,1400,+13,296.000000 
 2,1400,+16,298.000000 
 2,1400,+19,294.000000 
 2,1400,+22,287.000000 
 2,1400,+25,285.000000 
 2,1400,+28,286.000000 
 2,1400,+31,285.000000 
 2,1400,+34,284.000000 
 2,1400,+37,286.000000 
 2,1400,+40,289.000000 
 2,1400,+43,283.000000 
 2,1400,+46,281.000000 
 2,1400,+49,282.000000 
 2,1700,+4,256.000000 
 2,1700,+7,273.000000 
 2,1700,+10,296.000000 
 2,1700,+13,298.000000 
 2,1700,+16,294.000000 
 2,1700,+19,287.000000 
 2,1700,+22,285.000000 
 2,1700,+25,286.000000 
 2,1700,+28,285.000000 
 2,1700,+31,284.000000 
 2,1700,+34,286.000000 
 2,1700,+37,289.000000 
 2,1700,+40,283.000000 
 2,1700,+43,281.000000 
 2,1700,+46,282.000000 
 2,2000,+4,273.000000 
 2,2000,+7,296.000000 
 2,2000,+10,298.000000 
 2,2000,+13,294.000000 
 2,2000,+16,287.000000 
 2,2000,+19,285.000000 
 2,2000,+22,286.000000 
 2,2000,+25,285.000000 
 2,2000,+28,284.000000 
 2,2000,+31,286.000000 
 2,2000,+34,289.000000 
 2,2000,+37,283.000000 
 2,2000,+40,281.000000 
 2,2000,+43,282.000000 
 2,2000,+46,284.000000 
 2,2000,+49,280.000000 
 2,2000,+52,272.000000 
 2,2000,+55,280.000000 
 2,2000,+58,284.000000 
 2,2000,+61,281.000000 
 2,2000,+64,283.000000 
 2,2000,+67,285.000000 
 2,2300,+4,296.000000 
 2,2300,+7,298.000000 
 2,2300,+10,294.000000 
 2,2300,+13,287.000000 
 2,2300,+16,285.000000 
 2,2300,+19,286.000000 
 2,2300,+22,285.000000 
 2,2300,+25,284.000000 
 2,2300,+28,286.000000 
 2,2300,+31,289.000000 
 2,2300,+34,283.000000 
 2,2300,+37,281.000000 
 2,2300,+40,282.000000 
 2,2300,+43,284.000000 
 2,2300,+46,280.000000 
 2,2300,+49,272.000000 
 2,2300,+52,280.000000 
 2,2300,+55,284.000000 
 2,2300,+58,281.000000 
 2,2300,+61,283.000000 
 2,2300,+64,285.000000 
 3,0200,+4,298.000000 
 3,0200,+7,294.000000 
 3,0200,+10,287.000000 
 3,0200,+13,285.000000 
 3,0200,+16,286.000000 
 3,0200,+19,285.000000 
 3,0200,+22,284.000000 
 3,0200,+25,286.000000 
 3,0200,+28,289.000000 
