 format: day,hour,forecast,value  location:97_74 Start : 20190101 
 2,0500,+52,305.000000 
 2,0500,+55,308.000000 
 2,0500,+58,315.000000 
 2,0800,+4,305.000000 
 2,0800,+7,311.000000 
 2,0800,+10,314.000000 
 2,0800,+13,327.000000 
 2,0800,+16,325.000000 
 2,0800,+19,321.000000 
 2,0800,+22,323.000000 
 2,0800,+25,315.000000 
 2,0800,+28,335.000000 
 2,0800,+31,331.000000 
 2,0800,+34,317.000000 
 2,0800,+37,311.000000 
 2,0800,+40,309.000000 
 2,0800,+43,323.000000 
 2,0800,+46,309.000000 
 2,0800,+49,305.000000 
 2,0800,+52,300.000000 
 2,0800,+55,309.000000 
 2,1100,+4,311.000000 
 2,1100,+7,314.000000 
 2,1100,+10,327.000000 
 2,1100,+13,325.000000 
 2,1100,+16,321.000000 
 2,1100,+19,323.000000 
 2,1100,+22,315.000000 
 2,1100,+25,335.000000 
 2,1100,+28,331.000000 
 2,1100,+31,317.000000 
 2,1100,+34,311.000000 
 2,1100,+37,309.000000 
 2,1100,+40,323.000000 
 2,1100,+43,309.000000 
 2,1100,+46,305.000000 
 2,1100,+49,300.000000 
 2,1100,+52,309.000000 
 2,1400,+4,314.000000 
 2,1400,+7,327.000000 
 2,1400,+10,325.000000 
 2,1400,+13,321.000000 
 2,1400,+16,323.000000 
 2,1400,+19,315.000000 
 2,1400,+22,335.000000 
 2,1400,+25,331.000000 
 2,1400,+28,317.000000 
 2,1400,+31,311.000000 
 2,1400,+34,309.000000 
 2,1400,+37,323.000000 
 2,1400,+40,309.000000 
 2,1400,+43,305.000000 
 2,1400,+46,300.000000 
 2,1400,+49,309.000000 
 2,1700,+4,327.000000 
 2,1700,+7,325.000000 
 2,1700,+10,321.000000 
 2,1700,+13,323.000000 
 2,1700,+16,315.000000 
 2,1700,+19,335.000000 
 2,1700,+22,331.000000 
 2,1700,+25,317.000000 
 2,1700,+28,311.000000 
 2,1700,+31,309.000000 
 2,1700,+34,323.000000 
 2,1700,+37,309.000000 
 2,1700,+40,305.000000 
 2,1700,+43,300.000000 
 2,1700,+46,309.000000 
 2,2000,+4,317.000000 
 2,2000,+7,322.000000 
 2,2000,+10,332.000000 
 2,2000,+13,315.000000 
 2,2000,+16,326.000000 
 2,2000,+19,319.000000 
 2,2000,+22,344.000000 
 2,2000,+25,309.000000 
 2,2000,+28,300.000000 
 2,2000,+31,299.000000 
 2,2000,+34,281.000000 
 2,2000,+37,307.000000 
 2,2000,+40,295.000000 
 2,2000,+43,307.000000 
 2,2000,+46,298.000000 
 2,2000,+49,335.000000 
 2,2000,+52,357.000000 
 2,2000,+55,311.000000 
 2,2000,+58,323.000000 
 2,2000,+61,310.000000 
 2,2000,+64,342.000000 
 2,2000,+67,338.000000 
 2,2300,+4,322.000000 
 2,2300,+7,332.000000 
 2,2300,+10,315.000000 
 2,2300,+13,326.000000 
 2,2300,+16,319.000000 
 2,2300,+19,344.000000 
 2,2300,+22,309.000000 
 2,2300,+25,300.000000 
 2,2300,+28,299.000000 
 2,2300,+31,281.000000 
 2,2300,+34,307.000000 
 2,2300,+37,295.000000 
 2,2300,+40,307.000000 
 2,2300,+43,298.000000 
 2,2300,+46,335.000000 
 2,2300,+49,357.000000 
 2,2300,+52,311.000000 
 2,2300,+55,323.000000 
 2,2300,+58,310.000000 
 2,2300,+61,342.000000 
 2,2300,+64,338.000000 
 3,0200,+4,332.000000 
 3,0200,+7,315.000000 
 3,0200,+10,326.000000 
 3,0200,+13,319.000000 
 3,0200,+16,344.000000 
 3,0200,+19,309.000000 
 3,0200,+22,300.000000 
 3,0200,+25,299.000000 
 3,0200,+28,281.000000 
 3,0200,+31,307.000000 
 3,0200,+34,295.000000 
 3,0200,+37,307.000000 
 3,0200,+40,298.000000 
 3,0200,+43,335.000000 
 3,0200,+46,357.000000 
 3,0200,+49,311.000000 
 3,0200,+52,323.000000 
 3,0200,+55,310.000000 
 3,0200,+58,342.000000 
 3,0200,+61,338.000000 
 3,0500,+4,315.000000 
 3,0500,+7,326.000000 
 3,0500,+10,319.000000 
 3,0500,+13,344.000000 
 3,0500,+16,309.000000 
 3,0500,+19,300.000000 
 3,0500,+22,299.000000 
 3,0500,+25,281.000000 
 3,0500,+28,307.000000 
 3,0500,+31,295.000000 
 3,0500,+34,307.000000 
 3,0500,+37,298.000000 
 3,0500,+40,335.000000 
 3,0500,+43,357.000000 
 3,0500,+46,311.000000 
 3,0500,+49,323.000000 
 3,0500,+52,310.000000 
 3,0500,+55,342.000000 
 3,0500,+58,338.000000 
 3,0800,+4,323.000000 
 3,0800,+7,326.000000 
 3,0800,+10,341.000000 
 3,0800,+13,321.000000 
 3,0800,+16,304.000000 
 3,0800,+19,299.000000 
 3,0800,+22,279.000000 
 3,0800,+25,302.000000 
 3,0800,+28,297.000000 
 3,0800,+31,300.000000 
 3,0800,+34,299.000000 
 3,0800,+37,328.000000 
 3,0800,+40,338.000000 
 3,0800,+43,304.000000 
 3,0800,+46,322.000000 
 3,0800,+49,314.000000 
 3,0800,+52,307.000000 
 3,0800,+55,324.000000 
 3,1100,+4,326.000000 
 3,1100,+7,341.000000 
 3,1100,+10,321.000000 
 3,1100,+13,304.000000 
 3,1100,+16,299.000000 
 3,1100,+19,279.000000 
 3,1100,+22,302.000000 
 3,1100,+25,297.000000 
 3,1100,+28,300.000000 
 3,1100,+31,299.000000 
 3,1100,+34,328.000000 
 3,1100,+37,338.000000 
 3,1100,+40,304.000000 
 3,1100,+43,322.000000 
 3,1100,+46,314.000000 
 3,1100,+49,307.000000 
 3,1100,+52,324.000000 
 3,1400,+4,341.000000 
 3,1400,+7,321.000000 
 3,1400,+10,304.000000 
 3,1400,+13,299.000000 
 3,1400,+16,279.000000 
 3,1400,+19,302.000000 
 3,1400,+22,297.000000 
 3,1400,+25,300.000000 
 3,1400,+28,299.000000 
 3,1400,+31,328.000000 
 3,1400,+34,338.000000 
 3,1400,+37,304.000000 
 3,1400,+40,322.000000 
 3,1400,+43,314.000000 
 3,1400,+46,307.000000 
 3,1400,+49,324.000000 
 3,1700,+4,321.000000 
 3,1700,+7,304.000000 
 3,1700,+10,299.000000 
 3,1700,+13,279.000000 
 3,1700,+16,302.000000 
 3,1700,+19,297.000000 
 3,1700,+22,300.000000 
