 format: day,hour,forecast,value  location:97_74 Start : 20170601 
 1,0200,+4,243.000000 
 1,0200,+7,243.000000 
 1,0200,+10,279.000000 
 1,0200,+13,101.000000 
 1,0200,+16,186.000000 
 1,0200,+19,236.000000 
 1,0200,+22,257.000000 
 1,0200,+25,316.000000 
 1,0200,+28,326.000000 
 1,0200,+31,78.000000 
 1,0200,+34,69.000000 
 1,0200,+37,72.000000 
 1,0200,+40,61.000000 
 1,0200,+43,297.000000 
 1,0200,+46,231.000000 
 1,0200,+49,293.000000 
 1,0200,+52,279.000000 
 1,0200,+55,278.000000 
 1,0200,+58,258.000000 
 1,0200,+61,263.000000 
 1,0500,+4,243.000000 
 1,0500,+7,279.000000 
 1,0500,+10,101.000000 
 1,0500,+13,186.000000 
 1,0500,+16,236.000000 
 1,0500,+19,257.000000 
 1,0500,+22,316.000000 
 1,0500,+25,326.000000 
 1,0500,+28,78.000000 
 1,0500,+31,69.000000 
 1,0500,+34,72.000000 
 1,0500,+37,61.000000 
 1,0500,+40,297.000000 
 1,0500,+43,231.000000 
 1,0500,+46,293.000000 
 1,0500,+49,279.000000 
 1,0500,+52,278.000000 
 1,0500,+55,258.000000 
 1,0500,+58,263.000000 
 1,0800,+4,296.000000 
 1,0800,+7,295.000000 
 1,0800,+10,172.000000 
 1,0800,+13,108.000000 
 1,0800,+16,111.000000 
 1,0800,+19,114.000000 
 1,0800,+22,95.000000 
 1,0800,+25,86.000000 
 1,0800,+28,86.000000 
 1,0800,+31,71.000000 
 1,0800,+34,21.000000 
 1,0800,+37,288.000000 
 1,0800,+40,236.000000 
 1,0800,+43,270.000000 
 1,0800,+46,233.000000 
 1,0800,+49,238.000000 
 1,0800,+52,273.000000 
 1,0800,+55,291.000000 
 1,1100,+4,295.000000 
 1,1100,+7,172.000000 
 1,1100,+10,108.000000 
 1,1100,+13,111.000000 
 1,1100,+16,114.000000 
 1,1100,+19,95.000000 
 1,1100,+22,86.000000 
 1,1100,+25,86.000000 
 1,1100,+28,71.000000 
 1,1100,+31,21.000000 
 1,1100,+34,288.000000 
 1,1100,+37,236.000000 
 1,1100,+40,270.000000 
 1,1100,+43,233.000000 
 1,1100,+46,238.000000 
 1,1100,+49,273.000000 
 1,1100,+52,291.000000 
 1,1400,+4,172.000000 
 1,1400,+7,108.000000 
 1,1400,+10,111.000000 
 1,1400,+13,114.000000 
 1,1400,+16,95.000000 
 1,1400,+19,86.000000 
 1,1400,+22,86.000000 
 1,1400,+25,71.000000 
 1,1400,+28,21.000000 
 1,1400,+31,288.000000 
 1,1400,+34,236.000000 
 1,1400,+37,270.000000 
 1,1400,+40,233.000000 
 1,1400,+43,238.000000 
 1,1400,+46,273.000000 
 1,1400,+49,291.000000 
 1,1700,+4,108.000000 
 1,1700,+7,111.000000 
 1,1700,+10,114.000000 
 1,1700,+13,95.000000 
 1,1700,+16,86.000000 
 1,1700,+19,86.000000 
 1,1700,+22,71.000000 
 1,1700,+25,21.000000 
 1,1700,+28,288.000000 
 1,1700,+31,236.000000 
 1,1700,+34,270.000000 
 1,1700,+37,233.000000 
 1,1700,+40,238.000000 
 1,1700,+43,273.000000 
 1,1700,+46,291.000000 
 1,2000,+4,145.000000 
 1,2000,+7,166.000000 
 1,2000,+10,94.000000 
 1,2000,+13,82.000000 
 1,2000,+16,86.000000 
